symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
MRFG3,MRF3E,OP,P,27.6,100,5.69,BRL,1,2021-7-12
B3SA3,B3SAA,OP,C,12.1,-63200,0.35,BRL,1,2022-1-1
ABEV3,ABV3A,OP,C,16.9,-105400,0.65,BRL,1,2022-8-2
MGLU3,MGL3E,OP,C,18.24,800,0.01,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,111.47,1000,39.87,BRL,1,2022-1-1
ITUB4,ITB4E,OP,P,22.49,3700,1.05,BRL,1,2022-1-1
VBBR3,VBB3E,OP,P,20.72,5600,0.54,BRL,1,2021-7-12
JBSS3,JBS3E,OP,P,36.98,6200,3.48,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,27.85,8500,2.86,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,111.47,9900,40.8,BRL,1,2021-7-12
VIVT3,VVI3A,OP,C,45.88,100,4.3,BRL,1,2021-7-12
BBDC4,BDC4E,OP,P,21.02,8000,1.34,BRL,1,2021-7-12
ITUB4,ITB4A,OP,C,25.16,-201300,0.03,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,24.24,600,2.12,BRL,1,2022-1-1
ITUB4,ITB4E,OP,P,18.66,7700,0.03,BRL,1,2021-7-12
KLBN1,KLB1E,OP,P,23.9,3800,0.6,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,83.47,-7100,0.74,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,11.75,1300,6.41,BRL,1,2022-1-1
EMBR3,EMB3A,OP,C,29,4000,0.01,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,39.47,-114600,0.01,BRL,1,2021-7-12
ABEV3,ABV3A,OP,C,17,-171700,0.36,BRL,1,2022-1-1
BBSE3,BBS3A,OP,C,25,-10100,0.04,BRL,1,2022-1-1
BBDC4,BDC4E,OP,P,32.32,1800,12.09,BRL,1,2022-1-1
BBDC3,BDC3A,OP,C,18.49,-47900,0.39,BRL,1,2022-1-1
BBAS3,BBASE,OP,P,20.12,-100,0.01,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,54.97,-15300,0.08,BRL,1,2021-7-12
EGIE1,EGE3E,OP,P,38,-7600,0.54,BRL,1,2021-7-12
VALE3,VAL3E,OP,C,60.97,7000,9.94,BRL,1,2021-7-12
YDUQ3,YDU3E,OP,P,20,1100,0.46,BRL,1,2021-7-12
USIM5,USIMA,OP,C,16.32,143100,0.06,BRL,1,2021-7-12
PCAR3,PCA3A,OP,C,25.5,-25000,0.07,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,6,-43700,0.88,BRL,1,2021-7-12
ABEV3,ABV3E,OP,P,17.57,-144500,1.7,BRL,1,2021-7-12
ELET6,ELE6A,OP,C,39.5,6000,0.04,BRL,1,2021-7-12
ITUB4,ITB4E,OP,C,26.91,-49100,0.01,BRL,1,2021-7-12
ITUB4,ITB4E,OP,C,22.99,-300,0.88,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,18.99,300,10.69,BRL,1,2021-7-12
BRKM5,BRK5E,OP,P,54,65000,3.08,BRL,1,2021-7-12
ITSA4,ITSAE,OP,C,11.47,2900,0.01,BRL,1,2021-7-12
BRAP4,BRA4A,OP,C,53.66,13600,0.49,BRL,1,2021-7-12
CSNA3,CSN3E,OP,P,25.73,1200,4.16,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,35.1,9600,5.52,BRL,1,2022-1-1
LAME4,LAM4E,OP,P,5.9,-17800,0.89,BRL,1,2021-7-12
RADL3,RAL3A,OP,C,23.37,-33200,0.17,BRL,1,2021-7-12
