symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
BBSE,OP,C,21.73,5400,0.1461092681,BRL,1,2021-7-12
VIIA3,OP,P,10.25,7900,4.975013733,BRL,1,2021-7-12
MGLU3,OP,C,9.99,25400,0.04213812202,BRL,1,2021-7-12
BRDT3,OP,C,24,30300,0.4078199565,BRL,1,2022-1-1
YDUQ3,OP,C,26.5,-104600,0.09990560263,BRL,1,2021-7-12
CMIG4,OP,C,13,-200,0.7596824169,BRL,1,2022-1-1
BRKM5,OP,C,46.5,7400,7.350086689,BRL,1,2021-7-12
EQTL,ST,,,4299,22.80999947,BRL,1,
MRFG,OP,C,27,30000,0.2057256401,BRL,1,2022-1-1
MRFG,OP,C,25.6,-11200,0.09429724514,BRL,1,2021-7-12
BBDC4,OP,P,22.82,-2000,2.798904181,BRL,1,2022-1-1
BRKM5,OP,C,46,-1600,7.784155369,BRL,1,2021-7-12
EGIE3,OP,P,40,-9100,1.618263245,BRL,1,2021-7-12
ITSA4,OP,P,9.97,-183900,0.3431938291,BRL,1,2021-7-12
BBSE,OP,P,21.98,19500,1.444775581,BRL,1,2021-7-12
VIIA3,OP,C,8.9,-4400,0.008753268048,BRL,1,2021-7-12
BRFS3,OP,C,24.25,26100,0.1616934091,BRL,1,2022-1-1
BRAP4,OP,P,45.16,-4100,0.4276500344,BRL,1,2021-7-12
CSNA,OP,C,32.23,-19100,0.01508916169,BRL,1,2021-7-12
BBDC4,OP,P,24.82,8700,4.727728367,BRL,1,2021-7-12
BBAS,OP,C,34.21,17800,0.7943241596,BRL,1,2022-1-1
VIIA3,OP,C,6.6,-168600,0.1665328592,BRL,1,2022-1-1
MRFG,OP,C,25.5,17200,0.3731038868,BRL,1,2022-1-1
MULT3,ST,,,14596,19.23500061,BRL,1,
YDUQ3,OP,C,25,7600,0.8800023794,BRL,1,2022-1-1
VALE3,OP,P,101.61,-1100,28.18278885,BRL,1,2022-4-4
HYPE3,OP,P,29.22,36500,2.297511816,BRL,1,2021-7-12
CSNA,OP,C,23.73,-12200,0.4380655587,BRL,1,2021-7-12
CIEL3,OP,P,2.06,-31000,0.1685230285,BRL,1,2022-1-1
PCAR3,OP,C,26,5400,0.06426517665,BRL,1,2021-7-12
PETR4,OP,P,28.6,-391400,1.91220355,BRL,1,2022-4-4
ABEV,OP,P,20.07,6300,4.078828335,BRL,1,2021-7-12
YDUQ3,OP,P,22.5,-49900,1.404492259,BRL,1,2021-7-12
VIVT3,OP,C,53,6400,0.6014709473,BRL,1,2022-1-1
CIEL3,OP,P,5.96,6300,3.911122322,BRL,1,2021-7-12
PETR4,OP,P,26.49,-402800,0.2925502956,BRL,1,2021-7-12
PCAR3,OP,C,35,7000,0.001463588444,BRL,1,2021-7-12
EMBR3,OP,C,19.5,42500,0.5833429098,BRL,1,2021-7-12
CIEL3,OP,C,2.36,-88800,0.02219057456,BRL,1,2021-7-12
UNP,ST,,,2250,235.5749969,USD,1,
YDUQ3,OP,P,25,-7500,3.181586027,BRL,1,2021-7-12
BRML3,OP,C,8.2,-15300,0.1762996316,BRL,1,2021-7-12
VIIA3,OP,P,15.75,36900,10.44897747,BRL,1,2021-7-12
BBSE,OP,C,21.48,95900,0.1949437708,BRL,1,2021-7-12
PCAR3,OP,P,29.75,100,7.67193222,BRL,1,2021-7-12
VALE3,OP,C,69.97,-9600,5.049462795,BRL,1,2022-1-1
LAME4,OP,P,5.2,95900,0.3787280917,BRL,1,2021-7-12
VALE3,OP,C,90.47,24000,0.2786851525,BRL,1,2022-1-1
MGLU3,OP,C,24.99,100,0.0004634245415,BRL,1,2021-7-12
